Symbol,Name,LastSale,MarketCap,ADR TSO,Country,IPOyear,Sector,Industry,Summary Quote
YI,"111, Inc.",8.3,676815639.9,n/a,China,2018,Health Care,Medical/Nursing Services,https://www.nasdaq.com/symbol/yi
VNET,"21Vianet Group, Inc.",8.9,995740552.9,n/a,China,2011,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/vnet
QFIN,"360 Finance, Inc.",12.7499,1833771618,n/a,China,2018,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/qfin
JOBS,"51job, Inc.",70.18,4335744542,n/a,China,2004,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/jobs
ATV,"Acorn International, Inc.",29.3808,78744657.31,n/a,China,2007,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/atv
AMCN,AirMedia Group Inc,0.48,30151146.72,n/a,China,2007,Technology,Advertising,https://www.nasdaq.com/symbol/amcn
BABA,Alibaba Group Holding Limited,169.4,4.39116E+11,n/a,China,2014,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/baba
ACH,Aluminum Corporation of China Limited,9.36,5579982055,n/a,China,2001,Basic Industries,Aluminum,https://www.nasdaq.com/symbol/ach
AMBO,Ambow Education Holding Ltd.,6.3,135907008.3,n/a,China,n/a,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/ambo
ATAI,ATA Inc.,1.04,25179380.72,n/a,China,2008,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/atai
JG,Aurora Mobile Limited,9.25,1089667668,n/a,China,2018,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/jg
BIDU,"Baidu, Inc.",173.82,60586796539,n/a,China,2005,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/bidu
BZUN,Baozun Inc.,34.97,1996040460,n/a,China,2015,Consumer Services,Catalog/Specialty Distribution,https://www.nasdaq.com/symbol/bzun
BILI,Bilibili Inc.,18.2,3514747054,n/a,China,2018,Technology,EDP Services,https://www.nasdaq.com/symbol/bili
BCAC,Bison Capital Acquisition Corp.,10.55,84177785.35,n/a,China,2017,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/bcac
BCACR,Bison Capital Acquisition Corp.,0.25,0,n/a,China,2017,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/bcacr
BCACU,Bison Capital Acquisition Corp.,10.8,0,n/a,China,2017,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/bcacu
BCACW,Bison Capital Acquisition Corp.,0.143,0,n/a,China,2017,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/bcacw
BITA,Bitauto Holdings Limited,17.79,1294043995,n/a,China,2010,Technology,EDP Services,https://www.nasdaq.com/symbol/bita
BRQS,"Borqs Technologies, Inc. ",4.35,136169572.5,n/a,China,2015,Technology,EDP Services,https://www.nasdaq.com/symbol/brqs
BEDU,Bright Scholar Education Holdings Limited,10.53,1304916308,n/a,China,2017,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/bedu
CSIQ,Canadian Solar Inc.,21.11,1236661059,n/a,China,2006,Technology,Semiconductors,https://www.nasdaq.com/symbol/csiq
CBAT,"CBAK Energy Technology, Inc.",1.18,31444024.04,n/a,China,n/a,Miscellaneous,Industrial Machinery/Components,https://www.nasdaq.com/symbol/cbat
CYOU,Changyou.com Limited,18.96,999537261.6,n/a,China,2009,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/cyou
CADC,"China Advanced Construction Materials Group, Inc.",3.254,18172373,n/a,China,n/a,Basic Industries,Engineering & Construction,https://www.nasdaq.com/symbol/cadc
CAAS,"China Automotive Systems, Inc.",2.84,89868971.36,n/a,China,n/a,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/caas
GLG,"China Bat Group, Inc.",1.4,1377353.6,n/a,China,2013,Finance,Major Banks,https://www.nasdaq.com/symbol/glg
CBPO,"China Biologic Products Holdings, Inc.",80.79,3180000720,n/a,China,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/cbpo
CCCL,"China Ceramics Co., Ltd.",1.8,10178661.6,n/a,China,n/a,Capital Goods,Building Materials,https://www.nasdaq.com/symbol/cccl
CCRC,"China Customer Relations Centers, Inc.",10.67,195576832,n/a,China,2015,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/ccrc
DL,China Distance Education Holdings Limited,7.3,243227824,n/a,China,n/a,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/dl
CEA,China Eastern Airlines Corporation Ltd.,31.19,9024879928,n/a,China,1997,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/cea
JRJC,China Finance Online Co. Limited,1.07,25272975.21,n/a,China,2004,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/jrjc
CGA,"China Green Agriculture, Inc.",0.583,22676918.94,n/a,China,n/a,Basic Industries,Agricultural Chemicals,https://www.nasdaq.com/symbol/cga
HGSH,"China HGS Real Estate, Inc.",1.0104,45518520,n/a,China,n/a,Finance,Real Estate,https://www.nasdaq.com/symbol/hgsh
CIFS,China Internet Nationwide Financial Services Inc.,0.9231,20413606.94,n/a,China,2017,Consumer Services,Professional Services,https://www.nasdaq.com/symbol/cifs
CJJD,"China Jo-Jo Drugstores, Inc.",2.08,60188498.24,n/a,China,n/a,Consumer Durables,Specialty Chemicals,https://www.nasdaq.com/symbol/cjjd
LFC,China Life Insurance Company Limited,12.45,70379115450,n/a,China,2003,Finance,Life Insurance,https://www.nasdaq.com/symbol/lfc
BORN,China New Borun Corporation,0.88,22638000,n/a,China,2010,Consumer Non-Durables,Beverages (Production/Distribution),https://www.nasdaq.com/symbol/born
COE,China Online Education Group,6.83,137835888.5,n/a,China,2016,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/coe
SNP,China Petroleum & Chemical Corporation,84.13,1.01857E+11,n/a,China,n/a,Energy,Integrated oil Companies,https://www.nasdaq.com/symbol/snp
CPHI,"China Pharma Holdings, Inc.",0.28,12202275.96,n/a,China,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/cphi
CREG,China Recycling Energy Corporation,1,10295280,n/a,China,n/a,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/creg
